snapshot_date,total_downloads,maps,mods,total_downloads_signed,maps_signed,mods_signed,total_downloads_clamped,maps_clamped,mods_clamped,cumulative_total,cumulative_maps,cumulative_mods,total_new_assets,new_maps,new_mods,cumulative_assets,cumulative_maps_assets,cumulative_mods_assets,total_new_assets_versions,new_maps_versions,new_mods_versions,cumulative_asset_versions,cumulative_maps_versions,cumulative_mods_versions
2026_04_05,1209,740,469,945,476,469,1209,740,469,19087,13061,6026,7,6,1,119,107,12,12,8,4,208,168,40
2026_04_06,1181,662,519,1399,880,519,1181,662,519,20268,13723,6545,1,1,0,120,108,12,4,1,3,212,169,43
2026_04_07,976,656,320,976,656,320,976,656,320,21244,14379,6865,1,1,0,121,109,12,4,2,2,216,171,45
2026_04_08,1770,1239,531,1617,1086,531,1770,1239,531,23014,15618,7396,0,0,0,121,109,12,4,0,4,220,171,49
2026_04_09,1352,873,479,1367,888,479,1352,873,479,24366,16491,7875,1,1,0,122,110,12,7,6,1,227,177,50
2026_04_10,1710,1124,586,1709,1134,575,1710,1124,586,26076,17615,8461,2,2,0,124,112,12,10,8,2,237,185,52
2026_04_11,1636,1037,599,1611,1008,603,1636,1037,599,27712,18652,9060,1,1,0,125,113,12,13,11,2,250,196,54
2026_04_12,1985,1301,684,1972,1281,691,1985,1301,684,29697,19953,9744,5,3,2,130,116,14,6,4,2,256,200,56
2026_04_13,1758,1233,525,1829,1304,525,1758,1233,525,31455,21186,10269,20,20,0,150,136,14,21,20,1,277,220,57
2026_04_14,1293,930,363,1295,932,363,1293,930,363,32748,22116,10632,1,1,0,151,137,14,21,20,1,298,240,58
2026_04_15,1373,1011,362,1376,1014,362,1373,1011,362,34121,23127,10994,1,1,0,152,138,14,1,1,0,299,241,58
2026_04_16,1005,692,313,1007,694,313,1005,692,313,35126,23819,11307,5,5,0,157,143,14,12,12,0,311,253,58
2026_04_17,1284,871,413,1289,876,413,1284,871,413,36410,24690,11720,1,1,0,158,144,14,6,5,1,317,258,59
2026_04_18,1211,829,382,1217,835,382,1211,829,382,37621,25519,12102,0,0,0,158,144,14,6,6,0,323,264,59
2026_04_19,1323,881,442,1327,885,442,1323,881,442,38944,26400,12544,0,0,0,158,144,14,3,2,1,326,266,60
2026_04_20,1394,876,518,1396,878,518,1394,876,518,40338,27276,13062,2,1,1,160,145,15,2,2,0,328,268,60
2026_04_21,1068,756,312,1070,758,312,1068,756,312,41406,28032,13374,0,0,0,160,145,15,9,8,1,337,276,61
2026_04_22,990,696,294,995,701,294,990,696,294,42396,28728,13668,0,0,0,160,145,15,6,6,0,343,282,61
2026_04_23,865,653,212,870,658,212,865,653,212,43261,29381,13880,1,1,0,161,146,15,2,2,0,345,284,61
2026_04_24,800,568,232,805,573,232,800,568,232,44061,29949,14112,0,0,0,161,146,15,20,19,1,365,303,62
2026_04_25,1076,659,417,1080,663,417,1076,659,417,45137,30608,14529,0,0,0,161,146,15,1,0,1,366,303,63
2026_04_26,1419,781,638,1429,791,638,1419,781,638,46556,31389,15167,5,5,0,166,151,15,6,5,1,372,308,64
2026_04_27,1687,1038,649,1699,1050,649,1687,1038,649,48243,32427,15816,4,4,0,170,155,15,13,12,1,385,320,65
2026_04_28,1287,872,415,1290,875,415,1287,872,415,49530,33299,16231,0,0,0,170,155,15,0,0,0,385,320,65
2026_04_29,1037,659,378,1038,660,378,1037,659,378,50567,33958,16609,0,0,0,170,155,15,0,0,0,385,320,65
2026_04_30,767,489,278,770,492,278,767,489,278,51334,34447,16887,2,2,0,172,157,15,3,3,0,388,323,65
2026_05_01,897,586,311,899,588,311,897,586,311,52231,35033,17198,0,0,0,172,157,15,0,0,0,388,323,65
2026_05_02,991,685,306,992,686,306,991,685,306,53222,35718,17504,1,1,0,173,158,15,5,5,0,393,328,65
2026_05_03,1199,838,361,1205,844,361,1199,838,361,54421,36556,17865,0,0,0,173,158,15,8,8,0,401,336,65
2026_05_04,1122,776,346,1124,778,346,1122,776,346,55543,37332,18211,0,0,0,173,158,15,1,1,0,402,337,65
2026_05_05,874,605,269,865,596,269,874,605,269,56417,37937,18480,0,0,0,173,158,15,1,0,1,403,337,66
2026_05_06,768,501,267,783,516,267,768,501,267,57185,38438,18747,5,5,0,178,163,15,5,5,0,408,342,66
2026_05_07,790,529,261,795,534,261,790,529,261,57975,38967,19008,0,0,0,178,163,15,0,0,0,408,342,66
2026_05_08,866,610,256,866,610,256,866,610,256,58841,39577,19264,1,1,0,179,164,15,3,3,0,411,345,66
2026_05_09,903,613,290,903,613,290,903,613,290,59744,40190,19554,1,1,0,180,165,15,2,2,0,413,347,66
2026_05_10,888,587,301,888,587,301,888,587,301,60632,40777,19855,0,0,0,180,165,15,0,0,0,413,347,66
2026_05_11,881,538,343,883,540,343,881,538,343,61513,41315,20198,1,0,1,181,165,16,2,0,2,415,347,68
2026_05_12,839,491,348,840,492,348,839,491,348,62352,41806,20546,3,1,2,184,166,18,3,1,2,418,348,70
2026_05_13,861,532,329,861,532,329,861,532,329,63213,42338,20875,7,7,0,191,173,18,15,12,3,433,360,73
2026_05_14,886,563,323,887,564,323,886,563,323,64099,42901,21198,1,1,0,192,174,18,1,1,0,434,361,73
2026_05_15,888,613,275,891,616,275,888,613,275,64987,43514,21473,1,1,0,193,175,18,2,1,1,436,362,74
2026_05_16,757,507,250,759,509,250,757,507,250,65744,44021,21723,1,1,0,194,176,18,6,2,4,442,364,78
2026_05_17,771,477,294,772,478,294,771,477,294,66515,44498,22017,0,0,0,194,176,18,1,0,1,443,364,79
2026_05_18,671,432,239,671,432,239,671,432,239,67186,44930,22256,3,3,0,197,179,18,10,10,0,453,374,79
2026_05_19,925,656,269,929,660,269,925,656,269,68111,45586,22525,0,0,0,197,179,18,14,12,2,467,386,81
2026_05_20,772,545,227,772,545,227,772,545,227,68883,46131,22752,0,0,0,197,179,18,0,0,0,467,386,81
2026_05_21,665,458,207,665,458,207,665,458,207,69548,46589,22959,2,2,0,199,181,18,2,2,0,469,388,81
2026_05_22,601,371,230,601,371,230,601,371,230,70149,46960,23189,1,0,1,200,181,19,1,0,1,470,388,82
2026_05_23,737,491,246,737,491,246,737,491,246,70886,47451,23435,1,1,0,201,182,19,2,1,1,472,389,83
2026_05_24,874,563,311,875,564,311,874,563,311,71760,48014,23746,7,7,0,208,189,19,9,7,2,481,396,85
2026_05_25,914,572,342,917,575,342,914,572,342,72674,48586,24088,1,1,0,209,190,19,11,7,4,492,403,89
2026_05_26,841,456,385,841,456,385,841,456,385,73515,49042,24473,0,0,0,209,190,19,0,0,0,492,403,89
2026_05_27,640,361,279,641,362,279,640,361,279,74155,49403,24752,0,0,0,209,190,19,2,0,2,494,403,91
2026_05_28,844,457,387,846,459,387,844,457,387,74999,49860,25139,0,0,0,209,190,19,0,0,0,494,403,91
2026_05_29,713,401,312,713,401,312,713,401,312,75712,50261,25451,2,2,0,211,192,19,4,2,2,498,405,93
2026_05_30,713,417,296,714,418,296,713,417,296,76425,50678,25747,1,1,0,212,193,19,1,1,0,499,406,93
2026_05_31,866,554,312,869,557,312,866,554,312,77291,51232,26059,0,0,0,212,193,19,2,2,0,501,408,93
2026_06_01,984,604,380,988,608,380,984,604,380,78275,51836,26439,2,1,1,214,194,20,6,5,1,507,413,94
2026_06_02,934,686,248,934,686,248,934,686,248,79209,52522,26687,8,8,0,222,202,20,28,27,1,535,440,95
2026_06_03,942,594,348,942,594,348,942,594,348,80151,53116,27035,1,0,1,223,202,21,9,6,3,544,446,98
2026_06_04,810,564,246,810,564,246,810,564,246,80961,53680,27281,0,0,0,223,202,21,0,0,0,544,446,98
2026_06_05,800,442,358,800,442,358,800,442,358,81761,54122,27639,0,0,0,223,202,21,1,0,1,545,446,99
2026_06_06,729,454,275,731,456,275,729,454,275,82490,54576,27914,1,0,1,224,202,22,2,1,1,547,447,100
2026_06_07,853,513,340,854,514,340,853,513,340,83343,55089,28254,1,0,1,225,202,23,1,0,1,548,447,101
2026_06_08,1093,650,443,1093,650,443,1093,650,443,84436,55739,28697,1,0,1,226,202,24,1,0,1,549,447,102
2026_06_09,821,452,369,821,452,369,821,452,369,85257,56191,29066,0,0,0,226,202,24,0,0,0,549,447,102
2026_06_10,680,337,343,682,339,343,680,337,343,85937,56528,29409,0,0,0,226,202,24,0,0,0,549,447,102
2026_06_11,810,448,362,811,449,362,810,448,362,86747,56976,29771,0,0,0,226,202,24,0,0,0,549,447,102
2026_06_12,746,391,355,747,392,355,746,391,355,87493,57367,30126,4,4,0,230,206,24,6,4,2,555,451,104
2026_06_13,989,660,329,993,664,329,989,660,329,88482,58027,30455,7,7,0,237,213,24,10,7,3,565,458,107
2026_06_14,754,352,402,754,352,402,754,352,402,89236,58379,30857,0,0,0,237,213,24,1,0,1,566,458,108
2026_06_15,1027,590,437,1028,591,437,1027,590,437,90263,58969,31294,1,0,1,238,213,25,1,0,1,567,458,109
2026_06_16,681,291,390,682,292,390,681,291,390,90944,59260,31684,0,0,0,238,213,25,1,0,1,568,458,110
2026_06_17,630,331,299,630,331,299,630,331,299,91574,59591,31983,1,1,0,239,214,25,1,1,0,569,459,110
2026_06_18,709,374,335,709,374,335,709,374,335,92283,59965,32318,3,3,0,242,217,25,13,12,1,582,471,111
2026_06_19,908,487,421,909,488,421,908,487,421,93191,60452,32739,2,0,2,244,217,27,6,1,5,588,472,116
2026_06_20,895,486,409,896,487,409,895,486,409,94086,60938,33148,0,0,0,244,217,27,2,0,2,590,472,118
2026_06_21,889,412,477,890,413,477,889,412,477,94975,61350,33625,0,0,0,244,217,27,2,1,1,592,473,119
2026_06_22,1080,513,567,1031,464,567,1080,513,567,96055,61863,34192,0,0,0,244,217,27,4,1,3,596,474,122
2026_06_23,686,330,356,687,331,356,686,330,356,96741,62193,34548,0,0,0,244,217,27,1,0,1,597,474,123
2026_06_24,906,466,440,906,466,440,906,466,440,97647,62659,34988,0,0,0,244,217,27,1,0,1,598,474,124
2026_06_25,800,336,464,800,336,464,800,336,464,98447,62995,35452,0,0,0,244,217,27,1,0,1,599,474,125
2026_06_26,788,389,399,788,389,399,788,389,399,99235,63384,35851,1,1,0,245,218,27,1,1,0,600,475,125
2026_06_27,903,442,461,905,444,461,903,442,461,100138,63826,36312,0,0,0,245,218,27,1,0,1,601,475,126
2026_06_28,1023,604,419,1025,606,419,1023,604,419,101161,64430,36731,0,0,0,245,218,27,1,1,0,602,476,126
2026_06_29,1010,619,391,1010,619,391,1010,619,391,102171,65049,37122,0,0,0,245,218,27,1,1,0,603,477,126
2026_06_30,1022,379,643,1022,379,643,1022,379,643,103193,65428,37765,0,0,0,245,218,27,2,1,1,605,478,127
2026_07_01,1502,662,840,1299,459,840,1502,662,840,104695,66090,38605,0,0,0,245,218,27,1,1,0,606,479,127
2026_07_02,855,354,501,1063,562,501,855,354,501,105550,66444,39106,2,1,1,247,219,28,2,1,1,608,480,128
2026_07_03,776,276,500,777,277,500,776,276,500,106326,66720,39606,0,0,0,247,219,28,0,0,0,608,480,128
2026_07_04,878,404,474,878,404,474,878,404,474,107204,67124,40080,3,3,0,250,222,28,5,3,2,613,483,130
2026_07_05,739,332,407,740,333,407,739,332,407,107943,67456,40487,0,0,0,250,222,28,1,1,0,614,484,130
2026_07_06,1058,516,542,1058,516,542,1058,516,542,109001,67972,41029,0,0,0,250,222,28,0,0,0,614,484,130
2026_07_07,961,427,534,961,427,534,961,427,534,109962,68399,41563,0,0,0,250,222,28,17,10,7,631,494,137
2026_07_08,1346,630,716,1385,669,716,1346,630,716,111308,69029,42279,7,7,0,257,229,28,13,13,0,644,507,137
2026_07_09,1536,848,688,1536,848,688,1536,848,688,112844,69877,42967,3,3,0,260,232,28,25,24,1,669,531,138
2026_07_10,1427,861,566,1427,861,566,1427,861,566,114271,70738,43533,1,0,1,261,232,29,15,13,2,684,544,140
2026_07_11,1240,740,500,1240,740,500,1240,740,500,115511,71478,44033,0,0,0,261,232,29,0,0,0,684,544,140
2026_07_12,898,488,410,898,488,410,898,488,410,116409,71966,44443,0,0,0,261,232,29,1,1,0,685,545,140
2026_07_13,1211,677,534,1212,678,534,1211,677,534,117620,72643,44977,2,1,1,263,233,30,15,13,2,700,558,142
2026_07_14,1585,898,687,1591,904,687,1585,898,687,119205,73541,45664,0,0,0,263,233,30,7,5,2,707,563,144
2026_07_15,1176,605,571,1177,606,571,1176,605,571,120381,74146,46235,1,1,0,264,234,30,5,5,0,712,568,144
2026_07_16,1632,1104,528,1633,1105,528,1632,1104,528,122013,75250,46763,6,5,1,270,239,31,26,24,2,738,592,146
2026_07_17,1670,1081,589,1670,1081,589,1670,1081,589,123683,76331,47352,0,0,0,270,239,31,14,12,2,752,604,148
2026_07_18,2830,1308,1522,2830,1308,1522,2830,1308,1522,126513,77639,48874,1,0,1,271,239,32,10,3,7,762,607,155
2026_07_19,4127,1882,2245,4127,1882,2245,4127,1882,2245,130640,79521,51119,6,3,3,277,242,35,21,16,5,783,623,160
2026_07_20,3038,1446,1592,3038,1446,1592,3038,1446,1592,133678,80967,52711,4,3,1,281,245,36,9,6,3,792,629,163
2026_07_21,3652,1839,1813,3652,1839,1813,3652,1839,1813,137330,82806,54524,2,1,1,283,246,37,38,33,5,830,662,168
2026_07_22,2974,1531,1443,2974,1531,1443,2974,1531,1443,140304,84337,55967,5,5,0,288,251,37,8,6,2,838,668,170
2026_07_23,3096,1795,1301,3096,1795,1301,3096,1795,1301,143400,86132,57268,2,1,1,290,252,38,25,19,6,863,687,176
2026_07_24,3818,1770,2048,3818,1770,2048,3818,1770,2048,147218,87902,59316,0,0,0,290,252,38,4,0,4,867,687,180
2026_07_25,3008,1353,1655,3008,1353,1655,3008,1353,1655,150226,89255,60971,3,3,0,293,255,38,9,8,1,876,695,181
2026_07_26,3775,2026,1749,3775,2026,1749,3775,2026,1749,154001,91281,62720,4,3,1,297,258,39,25,20,5,901,715,186
2026_07_27,3570,1933,1637,3570,1933,1637,3570,1933,1637,157571,93214,64357,2,0,2,299,258,41,21,19,2,922,734,188
2026_07_28,3154,1761,1393,3154,1761,1393,3154,1761,1393,160725,94975,65750,0,0,0,299,258,41,2,0,2,924,734,190
2026_07_29,1892,945,947,1892,945,947,1892,945,947,162617,95920,66697,0,0,0,299,258,41,4,1,3,928,735,193
2026_07_30,3203,1665,1538,3203,1665,1538,3203,1665,1538,165820,97585,68235,0,0,0,299,258,41,2,2,0,930,737,193
2026_07_31,2533,1322,1211,2533,1322,1211,2533,1322,1211,168353,98907,69446,2,1,1,301,259,42,2,1,1,932,738,194
2026_08_01,2425,1097,1328,2425,1097,1328,2425,1097,1328,170778,100004,70774,11,9,2,312,268,44,14,10,4,946,748,198
2026_08_02,2589,1393,1196,2589,1393,1196,2589,1393,1196,173367,101397,71970,1,1,0,313,269,44,3,1,2,949,749,200
2026_08_03,2539,1300,1239,2539,1300,1239,2539,1300,1239,175906,102697,73209,1,0,1,314,269,45,2,0,2,951,749,202
2026_08_04,1842,970,872,1821,970,851,1842,970,872,177748,103667,74081,1,0,1,315,269,46,1,1,0,952,750,202
2026_08_05,2358,1273,1085,2358,1273,1085,2358,1273,1085,180106,104940,75166,2,1,1,317,270,47,10,5,5,962,755,207
2026_08_06,2740,1434,1306,2740,1434,1306,2740,1434,1306,182846,106374,76472,0,0,0,317,270,47,27,26,1,989,781,208
2026_08_07,3179,1958,1221,3200,1958,1242,3179,1958,1221,186025,108332,77693,3,1,2,320,271,49,6,2,4,995,783,212
2026_08_08,2904,1685,1219,2904,1685,1219,2904,1685,1219,188929,110017,78912,0,0,0,320,271,49,5,3,2,1000,786,214
2026_08_09,2383,1311,1072,2383,1311,1072,2383,1311,1072,191312,111328,79984,0,0,0,320,271,49,2,0,2,1002,786,216
2026_08_10,2340,1246,1094,2340,1246,1094,2340,1246,1094,193652,112574,81078,0,0,0,320,271,49,4,1,3,1006,787,219
2026_08_11,2611,1622,989,2611,1622,989,2611,1622,989,196263,114196,82067,19,19,0,339,290,49,21,20,1,1027,807,220
2026_08_12,2081,1242,839,2081,1242,839,2081,1242,839,198344,115438,82906,0,0,0,339,290,49,0,0,0,1027,807,220
2026_08_13,1745,1009,736,1745,1009,736,1745,1009,736,200089,116447,83642,0,0,0,339,290,49,0,0,0,1027,807,220
2026_08_14,2113,1468,645,2113,1468,645,2113,1468,645,202202,117915,84287,3,3,0,342,293,49,57,57,0,1084,864,220
2026_08_15,2255,1588,667,2255,1588,667,2255,1588,667,204457,119503,84954,1,1,0,343,294,49,39,39,0,1123,903,220
2026_08_16,1981,1404,577,1981,1404,577,1981,1404,577,206438,120907,85531,0,0,0,343,294,49,0,0,0,1123,903,220
2026_08_17,2106,1421,685,2106,1421,685,2106,1421,685,208544,122328,86216,0,0,0,343,294,49,0,0,0,1123,903,220
2026_08_18,1297,871,426,1297,871,426,1297,871,426,209841,123199,86642,6,6,0,349,300,49,7,6,1,1130,909,221
2026_08_19,1726,1175,551,1726,1175,551,1726,1175,551,211567,124374,87193,0,0,0,349,300,49,5,2,3,1135,911,224
2026_08_20,3900,3302,598,3900,3302,598,3900,3302,598,215467,127676,87791,12,11,1,361,311,50,92,91,1,1227,1002,225
2026_08_21,2705,2129,576,2705,2129,576,2705,2129,576,218172,129805,88367,0,0,0,361,311,50,11,11,0,1238,1013,225
2026_08_22,1713,932,781,1713,932,781,1713,932,781,219885,130737,89148,0,0,0,361,311,50,6,0,6,1244,1013,231
2026_08_23,1340,885,455,1340,885,455,1340,885,455,221225,131622,89603,26,26,0,387,337,50,34,33,1,1278,1046,232
2026_08_24,1931,1498,433,1931,1498,433,1931,1498,433,223156,133120,90036,0,0,0,387,337,50,13,12,1,1291,1058,233
2026_08_25,1854,1329,525,1854,1329,525,1854,1329,525,225010,134449,90561,7,7,0,394,344,50,8,7,1,1299,1065,234
2026_08_26,1922,1263,659,1922,1263,659,1922,1263,659,226932,135712,91220,0,0,0,394,344,50,9,9,0,1308,1074,234
2026_08_27,1354,841,513,1354,841,513,1354,841,513,228286,136553,91733,0,0,0,394,344,50,5,5,0,1313,1079,234
2026_08_28,1616,1031,585,1616,1031,585,1616,1031,585,229902,137584,92318,0,0,0,394,344,50,0,0,0,1313,1079,234
2026_08_29,611,381,230,611,381,230,611,381,230,230513,137965,92548,1,1,0,395,345,50,0,0,0,1313,1079,234
2026_08_30,1385,830,555,1385,830,555,1385,830,555,231898,138795,93103,0,0,0,395,345,50,4,4,0,1317,1083,234
2026_08_31,1443,902,541,1443,902,541,1443,902,541,233341,139697,93644,1,0,1,396,345,51,0,0,0,1317,1083,234
2026_09_01,1587,1116,471,1587,1116,471,1587,1116,471,234928,140813,94115,21,20,1,417,365,52,25,20,5,1342,1103,239
2026_09_02,1318,945,373,1318,945,373,1318,945,373,236246,141758,94488,0,0,0,417,365,52,2,0,2,1344,1103,241
2026_09_03,1656,1002,654,1656,1002,654,1656,1002,654,237902,142760,95142,0,0,0,417,365,52,1,0,1,1345,1103,242
2026_09_04,1754,1234,520,1754,1234,520,1754,1234,520,239656,143994,95662,0,0,0,417,365,52,0,0,0,1345,1103,242
2026_09_06,598,358,240,598,358,240,598,358,240,240254,144352,95902,0,0,0,417,365,52,0,0,0,1345,1103,242
